ad_id,platform,brand,ad_format,creative_theme,cta_type,audience_segment,language,budget_daily_inr,bid_strategy,ad_copy_length_words,has_price_mention,has_offer_mention,has_expert_mention,has_urgency_words,has_emoji_in_copy,video_duration_seconds,days_active,month_launched,is_own_brand,impressions,clicks,installs,spent_inr,ctr,cpi_inr,d0_removal_rate,d1_retention_rate,d7_retention_rate,purchase_within_7d_rate,onboarding_completion_rate,avg_session_duration_seconds,install_quality_score
AD_1115,Google_Search,PharmEasy_Baby,Text,Doctor_Expert,Book Now,Health_Moms,English,5000,Target_ROAS,30,1,0,1,1,0,0,21,12,0,88800,1332,133,31500.0,0.015,236.8,0.1,0.55,0.35,0.15,0.85,300,90
AD_1116,Facebook,Healofy,Image,Community,Install App,Vernacular,Telugu,4000,Target_CPA,22,0,0,0,0,1,0,21,12,0,55500,2220,222,25200.0,0.04,113.5,0.15,0.45,0.25,0.08,0.8,210,80
AD_1117,Instagram,BabyChakra,Carousel,Testimonial,Install App,Expecting,English,6000,Target_CPA,35,0,0,0,0,1,0,21,12,0,111000,3885,388,37800.0,0.035,97.4,0.2,0.4,0.22,0.09,0.78,190,75
AD_1118,Google_Search,Pregakem,Text,Educational,Learn More,TTC_Women,English,3000,Max_Conversions,28,0,0,1,0,0,0,21,12,0,33300,666,66,18900.0,0.02,286.4,0.08,0.6,0.4,0.2,0.9,350,95
AD_1119,Instagram,HealthKart_Women,Video,Ingredient_Science,Shop Now,Wellness,English,8000,Target_ROAS,25,1,0,1,0,0,45,21,12,0,133200,3330,333,50400.0,0.025,151.4,0.18,0.42,0.28,0.12,0.82,240,85
AD_1120,YouTube,Himalaya_BabyCare,Video,Heritage_Trust,Shop Now,Parents_0_3,English,9000,Target_CPA,16,0,0,1,0,0,30,21,12,0,277500,5550,555,56700.0,0.02,102.2,0.12,0.5,0.32,0.1,0.84,260,88
AD_1121,Facebook,FirstCry,Carousel,Discount,Shop Now,Parents_0_3,English,15000,Target_CPA,12,1,1,0,1,1,0,22,1,0,448000,31360,3136,99000.0,0.07,31.6,0.55,0.15,0.04,0.08,0.5,90,35
AD_1122,Instagram,MamEarth_Baby,Video,UGC,Shop Now,Eco_Moms,English,10000,Max_Conversions,20,0,0,0,0,1,30,22,1,0,224000,6720,672,66000.0,0.03,98.2,0.3,0.3,0.15,0.1,0.7,150,65
AD_1123,YouTube,Pampers_India,Video,Emotional,Learn More,New_Parents,English,12000,Target_CPM,15,0,0,0,0,1,60,22,1,0,560000,14000,1400,79200.0,0.025,56.6,0.25,0.35,0.2,0.05,0.75,180,70
AD_1124,Facebook,Huggies_India,Image,Lifestyle,Learn More,New_Parents,English,11000,Max_Clicks,18,0,0,0,0,1,0,22,1,0,504000,12096,1209,72600.0,0.024,60.0,0.24,0.34,0.18,0.06,0.72,160,68
AD_1125,Google_Search,PharmEasy_Baby,Text,Doctor_Expert,Book Now,Health_Moms,English,5000,Target_ROAS,30,1,0,1,1,0,0,22,1,0,89600,1344,134,33000.0,0.015,246.3,0.1,0.55,0.35,0.15,0.85,300,90
AD_1126,Facebook,Healofy,Image,Community,Install App,Vernacular,Hindi,4000,Target_CPA,22,0,0,0,0,1,0,22,1,0,56000,2240,224,26400.0,0.04,117.9,0.15,0.45,0.25,0.08,0.8,210,80
AD_1127,Instagram,BabyChakra,Carousel,Testimonial,Install App,Expecting,English,6000,Target_CPA,35,0,0,0,0,1,0,22,1,0,112000,3920,392,39600.0,0.035,101.0,0.2,0.4,0.22,0.09,0.78,190,75
AD_1128,Google_Search,Pregakem,Text,Educational,Learn More,TTC_Women,English,3000,Max_Conversions,28,0,0,1,0,0,0,22,1,0,33600,672,67,19800.0,0.02,295.5,0.08,0.6,0.4,0.2,0.9,350,95
AD_1129,Instagram,HealthKart_Women,Video,Ingredient_Science,Shop Now,Wellness,English,8000,Target_ROAS,25,1,0,1,0,0,45,22,1,0,134400,3360,336,52800.0,0.025,157.1,0.18,0.42,0.28,0.12,0.82,240,85
AD_1130,YouTube,Himalaya_BabyCare,Video,Heritage_Trust,Shop Now,Parents_0_3,English,9000,Target_CPA,16,0,0,1,0,0,30,22,1,0,280000,5600,560,59400.0,0.02,106.1,0.12,0.5,0.32,0.1,0.84,260,88
AD_1131,Facebook,FirstCry,Carousel,Discount,Shop Now,Parents_0_3,English,15000,Target_CPA,12,1,1,0,1,1,0,23,2,0,451999,31639,3163,103500.0,0.07,32.7,0.55,0.15,0.04,0.08,0.5,90,35
AD_1132,Instagram,MamEarth_Baby,Video,UGC,Shop Now,Eco_Moms,English,10000,Max_Conversions,20,0,0,0,0,1,30,23,2,0,225999,6779,677,69000.0,0.03,101.9,0.3,0.3,0.15,0.1,0.7,150,65
AD_1133,YouTube,Pampers_India,Video,Emotional,Learn More,New_Parents,English,12000,Target_CPM,15,0,0,0,0,1,60,23,2,0,565000,14125,1412,82800.0,0.025,58.6,0.25,0.35,0.2,0.05,0.75,180,70
AD_1134,Facebook,Huggies_India,Image,Lifestyle,Learn More,New_Parents,English,11000,Max_Clicks,18,0,0,0,0,1,0,23,2,0,508499,12203,1220,75900.0,0.024,62.2,0.24,0.34,0.18,0.06,0.72,160,68
AD_1135,Google_Search,PharmEasy_Baby,Text,Doctor_Expert,Book Now,Health_Moms,English,5000,Target_ROAS,30,1,0,1,1,0,0,23,2,0,90399,1355,135,34500.0,0.015,255.6,0.1,0.55,0.35,0.15,0.85,300,90
AD_1136,Facebook,Healofy,Image,Community,Install App,Vernacular,Tamil,4000,Target_CPA,22,0,0,0,0,1,0,23,2,0,56499,2259,225,27600.0,0.04,122.7,0.15,0.45,0.25,0.08,0.8,210,80
AD_1137,Instagram,BabyChakra,Carousel,Testimonial,Install App,Expecting,English,6000,Target_CPA,35,0,0,0,0,1,0,23,2,0,112999,3954,395,41400.0,0.035,104.8,0.2,0.4,0.22,0.09,0.78,190,75
AD_1138,Google_Search,Pregakem,Text,Educational,Learn More,TTC_Women,English,3000,Max_Conversions,28,0,0,1,0,0,0,23,2,0,33900,678,67,20700.0,0.02,309.0,0.08,0.6,0.4,0.2,0.9,350,95
AD_1139,Instagram,HealthKart_Women,Video,Ingredient_Science,Shop Now,Wellness,English,8000,Target_ROAS,25,1,0,1,0,0,45,23,2,0,135600,3390,339,55200.0,0.025,162.8,0.18,0.42,0.28,0.12,0.82,240,85
AD_1140,YouTube,Himalaya_BabyCare,Video,Heritage_Trust,Shop Now,Parents_0_3,English,9000,Target_CPA,16,0,0,1,0,0,30,23,2,0,282500,5650,565,62100.0,0.02,109.9,0.12,0.5,0.32,0.1,0.84,260,88
AD_1141,Facebook,FirstCry,Carousel,Discount,Shop Now,Parents_0_3,English,15000,Target_CPA,12,1,1,0,1,1,0,24,3,0,456000,31920,3192,108000.0,0.07,33.8,0.55,0.15,0.04,0.08,0.5,90,35
AD_1142,Instagram,MamEarth_Baby,Video,UGC,Shop Now,Eco_Moms,English,10000,Max_Conversions,20,0,0,0,0,1,30,24,3,0,228000,6840,684,72000.0,0.03,105.3,0.3,0.3,0.15,0.1,0.7,150,65
AD_1143,YouTube,Pampers_India,Video,Emotional,Learn More,New_Parents,English,12000,Target_CPM,15,0,0,0,0,1,60,24,3,0,570000,14250,1425,86400.0,0.025,60.6,0.25,0.35,0.2,0.05,0.75,180,70
AD_1144,Facebook,Huggies_India,Image,Lifestyle,Learn More,New_Parents,English,11000,Max_Clicks,18,0,0,0,0,1,0,24,3,0,513000,12312,1231,79200.0,0.024,64.3,0.24,0.34,0.18,0.06,0.72,160,68
AD_1145,Google_Search,PharmEasy_Baby,Text,Doctor_Expert,Book Now,Health_Moms,English,5000,Target_ROAS,30,1,0,1,1,0,0,24,3,0,91200,1368,136,36000.0,0.015,264.7,0.1,0.55,0.35,0.15,0.85,300,90
AD_1146,Facebook,Healofy,Image,Community,Install App,Vernacular,Telugu,4000,Target_CPA,22,0,0,0,0,1,0,24,3,0,57000,2280,228,28800.0,0.04,126.3,0.15,0.45,0.25,0.08,0.8,210,80
AD_1147,Instagram,BabyChakra,Carousel,Testimonial,Install App,Expecting,English,6000,Target_CPA,35,0,0,0,0,1,0,24,3,0,114000,3990,399,43200.0,0.035,108.3,0.2,0.4,0.22,0.09,0.78,190,75
AD_1148,Google_Search,Pregakem,Text,Educational,Learn More,TTC_Women,English,3000,Max_Conversions,28,0,0,1,0,0,0,24,3,0,34200,684,68,21600.0,0.02,317.6,0.08,0.6,0.4,0.2,0.9,350,95
AD_1149,Instagram,HealthKart_Women,Video,Ingredient_Science,Shop Now,Wellness,English,8000,Target_ROAS,25,1,0,1,0,0,45,24,3,0,136800,3420,342,57600.0,0.025,168.4,0.18,0.42,0.28,0.12,0.82,240,85
AD_1150,YouTube,Himalaya_BabyCare,Video,Heritage_Trust,Shop Now,Parents_0_3,English,9000,Target_CPA,16,0,0,1,0,0,30,24,3,0,285000,5700,570,64800.0,0.02,113.7,0.12,0.5,0.32,0.1,0.84,260,88
AD_1151,Facebook,FirstCry,Carousel,Discount,Shop Now,Parents_0_3,English,15000,Target_CPA,12,1,1,0,1,1,0,25,4,0,459999,32199,3219,112500.0,0.07,34.9,0.55,0.15,0.04,0.08,0.5,90,35
AD_1152,Instagram,MamEarth_Baby,Video,UGC,Shop Now,Eco_Moms,English,10000,Max_Conversions,20,0,0,0,0,1,30,25,4,0,229999,6899,689,75000.0,0.03,108.9,0.3,0.3,0.15,0.1,0.7,150,65
AD_1153,YouTube,Pampers_India,Video,Emotional,Learn More,New_Parents,English,12000,Target_CPM,15,0,0,0,0,1,60,25,4,0,575000,14375,1437,90000.0,0.025,62.6,0.25,0.35,0.2,0.05,0.75,180,70
AD_1154,Facebook,Huggies_India,Image,Lifestyle,Learn More,New_Parents,English,11000,Max_Clicks,18,0,0,0,0,1,0,25,4,0,517499,12419,1241,82500.0,0.024,66.5,0.24,0.34,0.18,0.06,0.72,160,68
AD_1155,Google_Search,PharmEasy_Baby,Text,Doctor_Expert,Book Now,Health_Moms,English,5000,Target_ROAS,30,1,0,1,1,0,0,25,4,0,92000,1380,138,37500.0,0.015,271.7,0.1,0.55,0.35,0.15,0.85,300,90
AD_1156,Facebook,Healofy,Image,Community,Install App,Vernacular,Hindi,4000,Target_CPA,22,0,0,0,0,1,0,25,4,0,57499,2299,229,30000.0,0.04,131.0,0.15,0.45,0.25,0.08,0.8,210,80
AD_1157,Instagram,BabyChakra,Carousel,Testimonial,Install App,Expecting,English,6000,Target_CPA,35,0,0,0,0,1,0,25,4,0,114999,4024,402,45000.0,0.035,111.9,0.2,0.4,0.22,0.09,0.78,190,75
AD_1158,Google_Search,Pregakem,Text,Educational,Learn More,TTC_Women,English,3000,Max_Conversions,28,0,0,1,0,0,0,25,4,0,34500,690,69,22500.0,0.02,326.1,0.08,0.6,0.4,0.2,0.9,350,95
AD_1159,Instagram,HealthKart_Women,Video,Ingredient_Science,Shop Now,Wellness,English,8000,Target_ROAS,25,1,0,1,0,0,45,25,4,0,138000,3450,345,60000.0,0.025,173.9,0.18,0.42,0.28,0.12,0.82,240,85
AD_1160,YouTube,Himalaya_BabyCare,Video,Heritage_Trust,Shop Now,Parents_0_3,English,9000,Target_CPA,16,0,0,1,0,0,30,25,4,0,287500,5750,575,67500.0,0.02,117.4,0.12,0.5,0.32,0.1,0.84,260,88
AD_1161,Facebook,FirstCry,Carousel,Discount,Shop Now,Parents_0_3,English,15000,Target_CPA,12,1,1,0,1,1,0,26,5,0,463999,32479,3247,117000.0,0.07,36.0,0.55,0.15,0.04,0.08,0.5,90,35
AD_1162,Instagram,MamEarth_Baby,Video,UGC,Shop Now,Eco_Moms,English,10000,Max_Conversions,20,0,0,0,0,1,30,26,5,0,231999,6959,695,78000.0,0.03,112.2,0.3,0.3,0.15,0.1,0.7,150,65
AD_1163,YouTube,Pampers_India,Video,Emotional,Learn More,New_Parents,English,12000,Target_CPM,15,0,0,0,0,1,60,26,5,0,580000,14500,1450,93600.0,0.025,64.6,0.25,0.35,0.2,0.05,0.75,180,70
AD_1164,Facebook,Huggies_India,Image,Lifestyle,Learn More,New_Parents,English,11000,Max_Clicks,18,0,0,0,0,1,0,26,5,0,521999,12527,1252,85800.0,0.024,68.5,0.24,0.34,0.18,0.06,0.72,160,68
AD_1165,Google_Search,PharmEasy_Baby,Text,Doctor_Expert,Book Now,Health_Moms,English,5000,Target_ROAS,30,1,0,1,1,0,0,26,5,0,92800,1392,139,39000.0,0.015,280.6,0.1,0.55,0.35,0.15,0.85,300,90
AD_1166,Facebook,Healofy,Image,Community,Install App,Vernacular,Tamil,4000,Target_CPA,22,0,0,0,0,1,0,26,5,0,57999,2319,231,31200.0,0.04,135.1,0.15,0.45,0.25,0.08,0.8,210,80
AD_1167,Instagram,BabyChakra,Carousel,Testimonial,Install App,Expecting,English,6000,Target_CPA,35,0,0,0,0,1,0,26,5,0,115999,4059,405,46800.0,0.035,115.6,0.2,0.4,0.22,0.09,0.78,190,75
AD_1168,Google_Search,Pregakem,Text,Educational,Learn More,TTC_Women,English,3000,Max_Conversions,28,0,0,1,0,0,0,26,5,0,34800,696,69,23400.0,0.02,339.1,0.08,0.6,0.4,0.2,0.9,350,95
AD_1169,Instagram,HealthKart_Women,Video,Ingredient_Science,Shop Now,Wellness,English,8000,Target_ROAS,25,1,0,1,0,0,45,26,5,0,139200,3480,348,62400.0,0.025,179.3,0.18,0.42,0.28,0.12,0.82,240,85
AD_1170,YouTube,Himalaya_BabyCare,Video,Heritage_Trust,Shop Now,Parents_0_3,English,9000,Target_CPA,16,0,0,1,0,0,30,26,5,0,290000,5800,580,70200.0,0.02,121.0,0.12,0.5,0.32,0.1,0.84,260,88
AD_1171,Facebook,FirstCry,Carousel,Discount,Shop Now,Parents_0_3,English,15000,Target_CPA,12,1,1,0,1,1,0,27,6,0,468000,32760,3276,121500.0,0.07,37.1,0.55,0.15,0.04,0.08,0.5,90,35
AD_1172,Instagram,MamEarth_Baby,Video,UGC,Shop Now,Eco_Moms,English,10000,Max_Conversions,20,0,0,0,0,1,30,27,6,0,234000,7020,702,81000.0,0.03,115.4,0.3,0.3,0.15,0.1,0.7,150,65
AD_1173,YouTube,Pampers_India,Video,Emotional,Learn More,New_Parents,English,12000,Target_CPM,15,0,0,0,0,1,60,27,6,0,585000,14625,1462,97200.0,0.025,66.5,0.25,0.35,0.2,0.05,0.75,180,70
AD_1174,Facebook,Huggies_India,Image,Lifestyle,Learn More,New_Parents,English,11000,Max_Clicks,18,0,0,0,0,1,0,27,6,0,526500,12636,1263,89100.0,0.024,70.5,0.24,0.34,0.18,0.06,0.72,160,68
AD_1175,Google_Search,PharmEasy_Baby,Text,Doctor_Expert,Book Now,Health_Moms,English,5000,Target_ROAS,30,1,0,1,1,0,0,27,6,0,93600,1404,140,40500.0,0.015,289.3,0.1,0.55,0.35,0.15,0.85,300,90
AD_1176,Facebook,Healofy,Image,Community,Install App,Vernacular,Telugu,4000,Target_CPA,22,0,0,0,0,1,0,27,6,0,58500,2340,234,32400.0,0.04,138.5,0.15,0.45,0.25,0.08,0.8,210,80
AD_1177,Instagram,BabyChakra,Carousel,Testimonial,Install App,Expecting,English,6000,Target_CPA,35,0,0,0,0,1,0,27,6,0,117000,4095,409,48600.0,0.035,118.8,0.2,0.4,0.22,0.09,0.78,190,75
AD_1178,Google_Search,Pregakem,Text,Educational,Learn More,TTC_Women,English,3000,Max_Conversions,28,0,0,1,0,0,0,27,6,0,35100,702,70,24300.0,0.02,347.1,0.08,0.6,0.4,0.2,0.9,350,95
AD_1179,Instagram,HealthKart_Women,Video,Ingredient_Science,Shop Now,Wellness,English,8000,Target_ROAS,25,1,0,1,0,0,45,27,6,0,140400,3510,351,64800.0,0.025,184.6,0.18,0.42,0.28,0.12,0.82,240,85
AD_1180,YouTube,Himalaya_BabyCare,Video,Heritage_Trust,Shop Now,Parents_0_3,English,9000,Target_CPA,16,0,0,1,0,0,30,27,6,0,292500,5850,585,72900.0,0.02,124.6,0.12,0.5,0.32,0.1,0.84,260,88
AD_1181,Facebook,FirstCry,Carousel,Discount,Shop Now,Parents_0_3,English,15000,Target_CPA,12,1,1,0,1,1,0,28,7,0,472000,33040,3304,126000.0,0.07,38.1,0.55,0.15,0.04,0.08,0.5,90,35
AD_1182,Instagram,MamEarth_Baby,Video,UGC,Shop Now,Eco_Moms,English,10000,Max_Conversions,20,0,0,0,0,1,30,28,7,0,236000,7080,708,84000.0,0.03,118.6,0.3,0.3,0.15,0.1,0.7,150,65
AD_1183,YouTube,Pampers_India,Video,Emotional,Learn More,New_Parents,English,12000,Target_CPM,15,0,0,0,0,1,60,28,7,0,590000,14750,1475,100800.0,0.025,68.3,0.25,0.35,0.2,0.05,0.75,180,70
AD_1184,Facebook,Huggies_India,Image,Lifestyle,Learn More,New_Parents,English,11000,Max_Clicks,18,0,0,0,0,1,0,28,7,0,531000,12744,1274,92400.0,0.024,72.5,0.24,0.34,0.18,0.06,0.72,160,68
AD_1185,Google_Search,PharmEasy_Baby,Text,Doctor_Expert,Book Now,Health_Moms,English,5000,Target_ROAS,30,1,0,1,1,0,0,28,7,0,94400,1416,141,42000.0,0.015,297.9,0.1,0.55,0.35,0.15,0.85,300,90
AD_1186,Facebook,Healofy,Image,Community,Install App,Vernacular,Hindi,4000,Target_CPA,22,0,0,0,0,1,0,28,7,0,59000,2360,236,33600.0,0.04,142.4,0.15,0.45,0.25,0.08,0.8,210,80
AD_1187,Instagram,BabyChakra,Carousel,Testimonial,Install App,Expecting,English,6000,Target_CPA,35,0,0,0,0,1,0,28,7,0,118000,4130,413,50400.0,0.035,122.0,0.2,0.4,0.22,0.09,0.78,190,75
AD_1188,Google_Search,Pregakem,Text,Educational,Learn More,TTC_Women,English,3000,Max_Conversions,28,0,0,1,0,0,0,28,7,0,35400,708,70,25200.0,0.02,360.0,0.08,0.6,0.4,0.2,0.9,350,95
AD_1189,Instagram,HealthKart_Women,Video,Ingredient_Science,Shop Now,Wellness,English,8000,Target_ROAS,25,1,0,1,0,0,45,28,7,0,141600,3540,354,67200.0,0.025,189.8,0.18,0.42,0.28,0.12,0.82,240,85
AD_1190,YouTube,Himalaya_BabyCare,Video,Heritage_Trust,Shop Now,Parents_0_3,English,9000,Target_CPA,16,0,0,1,0,0,30,28,7,0,295000,5900,590,75600.0,0.02,128.1,0.12,0.5,0.32,0.1,0.84,260,88
AD_1191,Facebook,FirstCry,Carousel,Discount,Shop Now,Parents_0_3,English,15000,Target_CPA,12,1,1,0,1,1,0,29,8,0,476000,33320,3332,130500.0,0.07,39.2,0.55,0.15,0.04,0.08,0.5,90,35
AD_1192,Instagram,MamEarth_Baby,Video,UGC,Shop Now,Eco_Moms,English,10000,Max_Conversions,20,0,0,0,0,1,30,29,8,0,238000,7140,714,87000.0,0.03,121.8,0.3,0.3,0.15,0.1,0.7,150,65
AD_1193,YouTube,Pampers_India,Video,Emotional,Learn More,New_Parents,English,12000,Target_CPM,15,0,0,0,0,1,60,29,8,0,595000,14875,1487,104400.0,0.025,70.2,0.25,0.35,0.2,0.05,0.75,180,70
AD_1194,Facebook,Huggies_India,Image,Lifestyle,Learn More,New_Parents,English,11000,Max_Clicks,18,0,0,0,0,1,0,29,8,0,535500,12852,1285,95700.0,0.024,74.5,0.24,0.34,0.18,0.06,0.72,160,68
AD_1195,Google_Search,PharmEasy_Baby,Text,Doctor_Expert,Book Now,Health_Moms,English,5000,Target_ROAS,30,1,0,1,1,0,0,29,8,0,95200,1428,142,43500.0,0.015,306.3,0.1,0.55,0.35,0.15,0.85,300,90
AD_1196,Facebook,Healofy,Image,Community,Install App,Vernacular,Tamil,4000,Target_CPA,22,0,0,0,0,1,0,29,8,0,59500,2380,238,34800.0,0.04,146.2,0.15,0.45,0.25,0.08,0.8,210,80
AD_1197,Instagram,BabyChakra,Carousel,Testimonial,Install App,Expecting,English,6000,Target_CPA,35,0,0,0,0,1,0,29,8,0,119000,4165,416,52200.0,0.035,125.5,0.2,0.4,0.22,0.09,0.78,190,75
AD_1198,Google_Search,Pregakem,Text,Educational,Learn More,TTC_Women,English,3000,Max_Conversions,28,0,0,1,0,0,0,29,8,0,35700,714,71,26100.0,0.02,367.6,0.08,0.6,0.4,0.2,0.9,350,95
AD_1199,Instagram,HealthKart_Women,Video,Ingredient_Science,Shop Now,Wellness,English,8000,Target_ROAS,25,1,0,1,0,0,45,29,8,0,142800,3570,357,69600.0,0.025,195.0,0.18,0.42,0.28,0.12,0.82,240,85
AD_1200,YouTube,Himalaya_BabyCare,Video,Heritage_Trust,Shop Now,Parents_0_3,English,9000,Target_CPA,16,0,0,1,0,0,30,29,8,0,297500,5950,595,78300.0,0.02,131.6,0.12,0.5,0.32,0.1,0.84,260,88
AD_1201,Facebook,FirstCry,Carousel,Discount,Shop Now,Parents_0_3,English,15000,Target_CPA,12,1,1,0,1,1,0,30,9,0,480000,33600,3360,135000.0,0.07,40.2,0.55,0.15,0.04,0.08,0.5,90,35
AD_1202,Instagram,MamEarth_Baby,Video,UGC,Shop Now,Eco_Moms,English,10000,Max_Conversions,20,0,0,0,0,1,30,30,9,0,240000,7200,720,90000.0,0.03,125.0,0.3,0.3,0.15,0.1,0.7,150,65
AD_1203,YouTube,Pampers_India,Video,Emotional,Learn More,New_Parents,English,12000,Target_CPM,15,0,0,0,0,1,60,30,9,0,600000,15000,1500,108000.0,0.025,72.0,0.25,0.35,0.2,0.05,0.75,180,70
AD_1204,Facebook,Huggies_India,Image,Lifestyle,Learn More,New_Parents,English,11000,Max_Clicks,18,0,0,0,0,1,0,30,9,0,540000,12960,1296,99000.0,0.024,76.4,0.24,0.34,0.18,0.06,0.72,160,68
AD_1205,Google_Search,PharmEasy_Baby,Text,Doctor_Expert,Book Now,Health_Moms,English,5000,Target_ROAS,30,1,0,1,1,0,0,30,9,0,96000,1440,144,45000.0,0.015,312.5,0.1,0.55,0.35,0.15,0.85,300,90
AD_1206,Facebook,Healofy,Image,Community,Install App,Vernacular,Telugu,4000,Target_CPA,22,0,0,0,0,1,0,30,9,0,60000,2400,240,36000.0,0.04,150.0,0.15,0.45,0.25,0.08,0.8,210,80
AD_1207,Instagram,BabyChakra,Carousel,Testimonial,Install App,Expecting,English,6000,Target_CPA,35,0,0,0,0,1,0,30,9,0,120000,4200,420,54000.0,0.035,128.6,0.2,0.4,0.22,0.09,0.78,190,75
AD_1208,Google_Search,Pregakem,Text,Educational,Learn More,TTC_Women,English,3000,Max_Conversions,28,0,0,1,0,0,0,30,9,0,36000,720,72,27000.0,0.02,375.0,0.08,0.6,0.4,0.2,0.9,350,95
AD_1209,Instagram,HealthKart_Women,Video,Ingredient_Science,Shop Now,Wellness,English,8000,Target_ROAS,25,1,0,1,0,0,45,30,9,0,144000,3600,360,72000.0,0.025,200.0,0.18,0.42,0.28,0.12,0.82,240,85
AD_1210,YouTube,Himalaya_BabyCare,Video,Heritage_Trust,Shop Now,Parents_0_3,English,9000,Target_CPA,16,0,0,1,0,0,30,30,9,0,300000,6000,600,81000.0,0.02,135.0,0.12,0.5,0.32,0.1,0.84,260,88
AD_1211,Facebook,FirstCry,Carousel,Discount,Shop Now,Parents_0_3,English,15000,Target_CPA,12,1,1,0,1,1,0,31,10,0,484000,33880,3388,139500.0,0.07,41.2,0.55,0.15,0.04,0.08,0.5,90,35
AD_1212,Instagram,MamEarth_Baby,Video,UGC,Shop Now,Eco_Moms,English,10000,Max_Conversions,20,0,0,0,0,1,30,31,10,0,242000,7260,726,93000.0,0.03,128.1,0.3,0.3,0.15,0.1,0.7,150,65
AD_1213,YouTube,Pampers_India,Video,Emotional,Learn More,New_Parents,English,12000,Target_CPM,15,0,0,0,0,1,60,31,10,0,605000,15125,1512,111600.0,0.025,73.8,0.25,0.35,0.2,0.05,0.75,180,70
AD_1214,Facebook,Huggies_India,Image,Lifestyle,Learn More,New_Parents,English,11000,Max_Clicks,18,0,0,0,0,1,0,31,10,0,544500,13068,1306,102300.0,0.024,78.3,0.24,0.34,0.18,0.06,0.72,160,68
AD_1215,Google_Search,PharmEasy_Baby,Text,Doctor_Expert,Book Now,Health_Moms,English,5000,Target_ROAS,30,1,0,1,1,0,0,31,10,0,96800,1452,145,46500.0,0.015,320.7,0.1,0.55,0.35,0.15,0.85,300,90
AD_1216,Facebook,Healofy,Image,Community,Install App,Vernacular,Hindi,4000,Target_CPA,22,0,0,0,0,1,0,31,10,0,60500,2420,242,37200.0,0.04,153.7,0.15,0.45,0.25,0.08,0.8,210,80
AD_1217,Instagram,BabyChakra,Carousel,Testimonial,Install App,Expecting,English,6000,Target_CPA,35,0,0,0,0,1,0,31,10,0,121000,4235,423,55800.0,0.035,131.9,0.2,0.4,0.22,0.09,0.78,190,75
AD_1218,Google_Search,Pregakem,Text,Educational,Learn More,TTC_Women,English,3000,Max_Conversions,28,0,0,1,0,0,0,31,10,0,36300,726,72,27900.0,0.02,387.5,0.08,0.6,0.4,0.2,0.9,350,95
AD_1219,Instagram,HealthKart_Women,Video,Ingredient_Science,Shop Now,Wellness,English,8000,Target_ROAS,25,1,0,1,0,0,45,31,10,0,145200,3630,363,74400.0,0.025,205.0,0.18,0.42,0.28,0.12,0.82,240,85
AD_1220,YouTube,Himalaya_BabyCare,Video,Heritage_Trust,Shop Now,Parents_0_3,English,9000,Target_CPA,16,0,0,1,0,0,30,31,10,0,302500,6050,605,83700.0,0.02,138.3,0.12,0.5,0.32,0.1,0.84,260,88
AD_1221,Facebook,FirstCry,Carousel,Discount,Shop Now,Parents_0_3,English,15000,Target_CPA,12,1,1,0,1,1,0,32,11,0,488000,34160,3416,144000.0,0.07,42.2,0.55,0.15,0.04,0.08,0.5,90,35
AD_1222,Instagram,MamEarth_Baby,Video,UGC,Shop Now,Eco_Moms,English,10000,Max_Conversions,20,0,0,0,0,1,30,32,11,0,244000,7320,732,96000.0,0.03,131.1,0.3,0.3,0.15,0.1,0.7,150,65
AD_1223,YouTube,Pampers_India,Video,Emotional,Learn More,New_Parents,English,12000,Target_CPM,15,0,0,0,0,1,60,32,11,0,610000,15250,1525,115200.0,0.025,75.5,0.25,0.35,0.2,0.05,0.75,180,70
AD_1224,Facebook,Huggies_India,Image,Lifestyle,Learn More,New_Parents,English,11000,Max_Clicks,18,0,0,0,0,1,0,32,11,0,549000,13176,1317,105600.0,0.024,80.2,0.24,0.34,0.18,0.06,0.72,160,68
AD_1225,Google_Search,PharmEasy_Baby,Text,Doctor_Expert,Book Now,Health_Moms,English,5000,Target_ROAS,30,1,0,1,1,0,0,32,11,0,97600,1464,146,48000.0,0.015,328.8,0.1,0.55,0.35,0.15,0.85,300,90
AD_1226,Facebook,Healofy,Image,Community,Install App,Vernacular,Tamil,4000,Target_CPA,22,0,0,0,0,1,0,32,11,0,61000,2440,244,38400.0,0.04,157.4,0.15,0.45,0.25,0.08,0.8,210,80
AD_1227,Instagram,BabyChakra,Carousel,Testimonial,Install App,Expecting,English,6000,Target_CPA,35,0,0,0,0,1,0,32,11,0,122000,4270,427,57600.0,0.035,134.9,0.2,0.4,0.22,0.09,0.78,190,75
AD_1228,Google_Search,Pregakem,Text,Educational,Learn More,TTC_Women,English,3000,Max_Conversions,28,0,0,1,0,0,0,32,11,0,36600,732,73,28800.0,0.02,394.5,0.08,0.6,0.4,0.2,0.9,350,95
AD_1229,Instagram,HealthKart_Women,Video,Ingredient_Science,Shop Now,Wellness,English,8000,Target_ROAS,25,1,0,1,0,0,45,32,11,0,146400,3660,366,76800.0,0.025,209.8,0.18,0.42,0.28,0.12,0.82,240,85
AD_1230,YouTube,Himalaya_BabyCare,Video,Heritage_Trust,Shop Now,Parents_0_3,English,9000,Target_CPA,16,0,0,1,0,0,30,32,11,0,305000,6100,610,86400.0,0.02,141.6,0.12,0.5,0.32,0.1,0.84,260,88
